tenor_years,zero_semi_pct,zero_annual_pct,par_semi_pct,discount_factor,fbil_zero_semi_pct,gap_bp
23.75,8.070974,8.233825,7.559211,0.152714,8.04,3.09738
24.0,8.079289,8.242477,7.564687,0.149436,8.05,2.928929
24.25,8.086693,8.25018,7.567479,0.146253,8.06,2.669322
24.5,8.09326,8.257012,7.57228,0.143162,8.07,2.325968
24.75,8.099075,8.263063,7.574473,0.140156,8.08,1.907521
25.0,8.104226,8.268423,7.578729,0.137232,8.09,1.422636
25.25,8.1088,8.273181,7.580453,0.134384,8.1,0.879969
25.5,8.112882,8.277429,7.584289,0.131608,8.11,0.288174
25.75,8.116559,8.281255,7.585663,0.1289,8.12,-0.344094
26.0,8.119918,8.284751,7.589195,0.126255,8.12,-0.008179
26.25,8.123046,8.288005,7.590332,0.12367,8.13,-0.695428
26.5,8.126028,8.291109,7.593669,0.121141,8.14,-1.397185
26.75,8.128952,8.294152,7.594672,0.118663,8.14,-1.104794
27.0,8.131904,8.297224,7.597915,0.116234,8.15,-1.809602
27.25,8.13497,8.300415,7.598882,0.113849,8.15,-1.502952
27.5,8.138238,8.303815,7.602126,0.111506,8.16,-2.176191
27.75,8.141793,8.307515,7.603147,0.1092,8.16,-1.820662
28.0,8.145723,8.311605,7.606477,0.10693,8.16,-1.427712
28.25,8.150094,8.316154,7.607631,0.104693,8.17,-1.990606
28.5,8.154897,8.321153,7.611096,0.102488,8.17,-1.510294
28.75,8.160104,8.326572,7.612379,0.100316,8.18,-1.989647
29.0,8.165685,8.332381,7.615948,0.098177,8.18,-1.431535
29.25,8.171612,8.33855,7.617326,0.096072,8.19,-1.83883
29.5,8.177856,8.345049,7.620965,0.094001,8.19,-1.214402
29.75,8.184389,8.351849,7.622405,0.091964,8.2,-1.561121
30.0,8.191181,8.35892,7.626084,0.089962,8.2,-0.881859
30.25,8.198205,8.366232,7.627555,0.087995,8.21,-1.179486
30.5,8.205431,8.373754,7.631244,0.086063,8.22,-1.456874
30.75,8.212831,8.381458,7.632718,0.084166,8.22,-0.716892
31.0,8.220376,8.389312,7.63639,0.082304,8.23,-0.962412
31.25,8.228037,8.397288,7.637841,0.080477,8.24,-1.196305
31.5,8.235786,8.405356,7.641471,0.078687,8.25,-1.421441
31.75,8.243593,8.413485,7.642874,0.076932,8.25,-0.640691
32.0,8.251431,8.421646,7.64644,0.075212,8.26,-0.856925
32.25,8.25927,8.429809,7.647773,0.073528,8.27,-1.073015
32.5,8.267082,8.437943,7.651253,0.07188,8.28,-1.291832
32.75,8.274838,8.44602,7.652497,0.070267,8.29,-1.516245
33.0,8.282509,8.454009,7.655874,0.06869,8.29,-0.749126
33.25,8.290069,8.461882,7.65701,0.067148,8.3,-0.993105
33.5,8.297502,8.469623,7.660269,0.065641,8.31,-1.249845
33.75,8.304792,8.477216,7.661289,0.064169,8.32,-1.520768
34.0,8.311927,8.484647,7.664425,0.06273,8.33,-1.807297
34.25,8.318891,8.491901,7.665325,0.061326,8.33,-1.110855
34.5,8.325671,8.498963,7.668333,0.059954,8.34,-1.432864
34.75,8.332253,8.505819,7.669107,0.058615,8.35,-1.774747
35.0,8.338621,8.512452,7.671984,0.057308,8.35,-1.137926
35.25,8.344762,8.518849,7.67263,0.056033,8.36,-1.523823
35.5,8.350661,8.524995,7.675373,0.054789,8.37,-1.933862
35.75,8.356305,8.530875,7.675887,0.053576,8.37,-1.369464
36.0,8.361679,8.536474,7.678493,0.052393,8.38,-1.832052
36.25,8.36677,8.541777,7.678873,0.05124,8.38,-1.323049
36.5,8.371561,8.546769,7.681342,0.050117,8.39,-1.843877
36.75,8.37604,8.551436,7.681587,0.049022,8.39,-1.395958
37.0,8.380193,8.555762,7.683916,0.047956,8.39,-0.980715
37.25,8.384004,8.559733,7.684024,0.046918,8.4,-1.599571
37.5,8.387461,8.563334,7.686213,0.045907,8.4,-1.253948
37.75,8.390547,8.566551,7.686183,0.044924,8.4,-0.945269
38.0,8.39325,8.569367,7.688231,0.043967,8.4,-0.674956
38.25,8.395556,8.571769,7.688064,0.043036,8.4,-0.444431
