tenor_years,zero_semi_annual_pct,zero_annualised_pct,par_semi_annual_pct,discount_factor,fbil_zero_semi_annual_pct,fbil_par_semi_annual_pct,zero_diff_bp,par_diff_bp
6.75,6.937189,7.0575,6.860629,0.63108,6.92,6.85,1.718896,1.062918
7.0,6.959207,7.080284,6.882038,0.619489,6.94,6.87,1.920719,1.203835
7.25,6.979094,7.100863,6.897291,0.608136,6.98,6.9,-0.090595,-0.270896
7.5,6.997143,7.119543,6.915177,0.597014,7.01,6.93,-1.28567,-1.482314
7.75,7.013684,7.136663,6.927634,0.586111,7.04,6.95,-2.631625,-2.236616
8.0,7.029044,7.152563,6.943075,0.575413,7.06,6.96,-3.095578,-1.692544
8.25,7.043554,7.167583,6.953792,0.564907,7.06,6.96,-1.644646,-0.620819
8.5,7.057541,7.182063,6.96784,0.554577,7.05,6.96,0.754052,0.784015
8.75,7.071267,7.196274,6.977776,0.544412,7.04,6.96,3.126735,1.777621
9.0,7.08473,7.210213,6.991097,0.53441,7.05,6.97,3.472972,2.109717
9.25,7.097857,7.223806,7.000406,0.524573,7.07,6.98,2.78567,2.040568
9.5,7.110577,7.236978,7.012881,0.514904,7.1,7.0,1.057735,1.288111
9.75,7.122821,7.249657,7.021385,0.505405,7.13,7.02,-0.717927,0.13847
10.0,7.134516,7.261769,7.032855,0.496079,7.15,7.05,-1.54841,-1.714511
10.25,7.145601,7.27325,7.040391,0.486926,7.17,7.06,-2.439932,-1.960867
10.5,7.156048,7.28407,7.050745,0.477947,7.18,7.06,-2.395218,-0.925485
10.75,7.165839,7.294212,7.057255,0.469143,7.17,7.06,-0.416117,-0.27454
11.0,7.174955,7.303655,7.066479,0.460511,7.17,7.06,0.495521,0.647853
11.25,7.183378,7.312381,7.071945,0.452053,7.16,7.06,2.337846,1.194498
11.5,7.19109,7.32037,7.080032,0.443767,7.16,7.06,3.10901,2.003205
11.75,7.198072,7.327602,7.084441,0.435653,7.16,7.06,3.807162,2.444137
12.0,7.204305,7.33406,7.091385,0.42771,7.16,7.06,4.430453,3.138532
12.25,7.209832,7.339786,7.094764,0.419934,7.17,7.07,3.983162,2.476365
12.5,7.214941,7.345079,7.100826,0.412309,7.17,7.07,4.494086,3.082555
12.75,7.219981,7.350302,7.1038,0.404817,7.18,7.08,3.99815,2.379999
13.0,7.225303,7.355815,7.109822,0.397436,7.19,7.09,3.53028,1.982216
13.25,7.231254,7.361982,7.113245,0.390149,7.2,7.09,3.125403,2.324514
13.5,7.238184,7.369163,7.120064,0.382936,7.22,7.11,1.818443,1.006359
13.75,7.246443,7.377721,7.124742,0.375777,7.23,7.11,1.644326,1.474229
14.0,7.25638,7.388017,7.133146,0.368654,7.25,7.13,0.637978,0.314626
14.25,7.268266,7.400335,7.139794,0.361551,7.27,7.14,-0.173414,-0.020582
14.5,7.282064,7.414635,7.150213,0.35447,7.29,7.15,-0.793617,0.021316
14.75,7.297659,7.430798,7.158799,0.347416,7.31,7.16,-1.23414,-0.120138
15.0,7.314935,7.448706,7.170941,0.340394,7.33,7.18,-1.506487,-0.905857
15.25,7.333778,7.468239,7.181128,0.33341,7.36,7.19,-2.622166,-0.887212
15.5,7.354073,7.489279,7.194668,0.326468,7.38,7.21,-2.592683,-1.53323
15.75,7.375705,7.511707,7.206129,0.319574,7.4,7.22,-2.429545,-1.387079
16.0,7.398557,7.535404,7.220751,0.312735,7.43,7.23,-3.144258,-0.924927
16.25,7.422517,7.560251,7.233175,0.305955,7.45,7.25,-2.748328,-1.682523
16.5,7.447467,7.586129,7.248577,0.299241,7.48,7.26,-3.253264,-1.142328
16.75,7.473294,7.61292,7.261666,0.292598,7.5,7.28,-2.67057,-1.833352
17.0,7.499882,7.640503,7.277564,0.286031,7.53,7.29,-3.011753,-1.243617
17.25,7.527112,7.668755,7.291038,0.279546,7.55,7.3,-2.288845,-0.896248
17.5,7.55484,7.697529,7.307146,0.273149,7.58,7.32,-2.515969,-1.285439
17.75,7.582922,7.726674,7.320701,0.266847,7.6,7.33,-1.707774,-0.929864
18.0,7.611211,7.756037,7.336718,0.260646,7.63,7.34,-1.87891,-0.328233
18.25,7.63956,7.785467,7.350061,0.254552,7.65,7.36,-1.044025,-0.993913
18.5,7.667822,7.814811,7.365706,0.24857,7.68,7.37,-1.217767,-0.429435
18.75,7.695852,7.843917,7.378568,0.242707,7.7,7.38,-0.414787,-0.14325
19.0,7.723503,7.872634,7.393586,0.236966,7.72,7.39,0.350269,0.358642
19.25,7.750628,7.900808,7.405724,0.231353,7.74,7.4,1.062751,0.57237
19.5,7.77708,7.928288,7.419887,0.225872,7.77,7.42,0.70801,-0.011269
19.75,7.802714,7.95492,7.431081,0.220527,7.79,7.42,1.271398,1.108144
20.0,7.827383,7.980552,7.444184,0.215322,7.81,7.44,1.738265,0.418399
20.25,7.850966,8.00506,7.45425,0.21026,7.83,7.44,2.0966,1.425014
20.5,7.873449,8.028427,7.466181,0.205338,7.85,7.46,2.34494,0.618053
20.75,7.894845,8.050666,7.475117,0.200554,7.86,7.46,3.484456,1.511681
21.0,7.915163,8.071788,7.485937,0.195903,7.88,7.47,3.516322,1.593668
21.25,7.934417,8.091805,7.493813,0.191383,7.9,7.48,3.44171,1.381286
21.5,7.952618,8.110728,7.503591,0.186991,7.92,7.49,3.261795,1.359082
21.75,7.969777,8.128571,7.510473,0.182724,7.93,7.5,3.977747,1.047313
22.0,7.985907,8.145344,7.519274,0.178578,7.95,7.5,3.590741,1.927424
22.25,8.001019,8.16106,7.525225,0.174551,7.96,7.51,4.101949,1.522545
22.5,8.015125,8.175731,7.533111,0.170639,7.98,7.52,3.512545,1.311129
22.75,8.028237,8.189368,7.538191,0.16684,7.99,7.52,3.8237,1.819075
23.0,8.040366,8.201985,7.54522,0.163151,8.01,7.53,3.036588,1.521951
23.25,8.051524,8.213591,7.549483,0.159569,8.02,7.54,3.152382,0.948329
23.5,8.061723,8.224201,7.55571,0.156091,8.03,7.54,3.172255,1.570983
23.75,8.070974,8.233825,7.559211,0.152714,8.04,7.55,3.09738,0.921077
24.0,8.079289,8.242477,7.564687,0.149436,8.05,7.55,2.928929,1.468679
24.25,8.086693,8.25018,7.567479,0.146253,8.06,7.56,2.669322,0.747851
24.5,8.09326,8.257012,7.57228,0.143162,8.07,7.56,2.325968,1.227953
24.75,8.099075,8.263063,7.574473,0.140156,8.08,7.57,1.907521,0.447288
25.0,8.104226,8.268423,7.578729,0.137232,8.09,7.57,1.422636,0.872894
25.25,8.1088,8.273181,7.580453,0.134384,8.1,7.57,0.879969,1.045274
25.5,8.112882,8.277429,7.584289,0.131608,8.11,7.58,0.288174,0.428862
25.75,8.116559,8.281255,7.585663,0.1289,8.12,7.58,-0.344094,0.56629
26.0,8.119918,8.284751,7.589195,0.126255,8.12,7.59,-0.008179,-0.080502
26.25,8.123046,8.288005,7.590332,0.12367,8.13,7.59,-0.695428,0.03317
26.5,8.126028,8.291109,7.593669,0.121141,8.14,7.59,-1.397185,0.366858
26.75,8.128952,8.294152,7.594672,0.118663,8.14,7.59,-1.104794,0.46721
27.0,8.131904,8.297224,7.597915,0.116234,8.15,7.6,-1.809602,-0.2085
27.25,8.13497,8.300415,7.598882,0.113849,8.15,7.6,-1.502952,-0.111754
27.5,8.138238,8.303815,7.602126,0.111506,8.16,7.6,-2.176191,0.212552
27.75,8.141793,8.307515,7.603147,0.1092,8.16,7.6,-1.820662,0.314703
28.0,8.145723,8.311605,7.606477,0.10693,8.16,7.61,-1.427712,-0.352258
28.25,8.150094,8.316154,7.607631,0.104693,8.17,7.61,-1.990606,-0.236875
28.5,8.154897,8.321153,7.611096,0.102488,8.17,7.61,-1.510294,0.1096
28.75,8.160104,8.326572,7.612379,0.100316,8.18,7.61,-1.989647,0.237936
29.0,8.165685,8.332381,7.615948,0.098177,8.18,7.62,-1.431535,-0.405203
29.25,8.171612,8.33855,7.617326,0.096072,8.19,7.62,-1.83883,-0.267395
29.5,8.177856,8.345049,7.620965,0.094001,8.19,7.62,-1.214402,0.096526
29.75,8.184389,8.351849,7.622405,0.091964,8.2,7.62,-1.561121,0.240528
30.0,8.191181,8.35892,7.626084,0.089962,8.2,7.63,-0.881859,-0.391617
30.25,8.198205,8.366232,7.627555,0.087995,8.21,7.63,-1.179486,-0.244486
30.5,8.205431,8.373754,7.631244,0.086063,8.22,7.63,-1.456874,0.12439
30.75,8.212831,8.381458,7.632718,0.084166,8.22,7.63,-0.716892,0.271802
31.0,8.220376,8.389312,7.63639,0.082304,8.23,7.64,-0.962412,-0.361003
31.25,8.228037,8.397288,7.637841,0.080477,8.24,7.64,-1.196305,-0.215943
31.5,8.235786,8.405356,7.641471,0.078687,8.25,7.64,-1.421441,0.147084
31.75,8.243593,8.413485,7.642874,0.076932,8.25,7.64,-0.640691,0.287376
32.0,8.251431,8.421646,7.64644,0.075212,8.26,7.65,-0.856925,-0.356042
32.25,8.25927,8.429809,7.647773,0.073528,8.27,7.65,-1.073015,-0.222722
32.5,8.267082,8.437943,7.651253,0.07188,8.28,7.65,-1.291832,0.125345
32.75,8.274838,8.44602,7.652497,0.070267,8.29,7.65,-1.516245,0.249696
33.0,8.282509,8.454009,7.655874,0.06869,8.29,7.66,-0.749126,-0.412622
33.25,8.290069,8.461882,7.65701,0.067148,8.3,7.66,-0.993105,-0.298993
33.5,8.297502,8.469623,7.660269,0.065641,8.31,7.66,-1.249845,0.026928
33.75,8.304792,8.477216,7.661289,0.064169,8.32,7.66,-1.520768,0.128944
34.0,8.311927,8.484647,7.664425,0.06273,8.33,7.67,-1.807297,-0.557451
34.25,8.318891,8.491901,7.665325,0.061326,8.33,7.67,-1.110855,-0.467542
