tenor_years,fbil_zero_semi,exact_zero_semi,exact_diff_bp,smooth_zero_semi,smooth_diff_bp,fbil_par_semi,exact_par_semi,smooth_par_semi,exact_par_diff_bp,smooth_par_diff_bp
14.5,7.29,7.25976,-3.0241,7.28206,-0.79362,7.15,7.13783,7.15021,-1.21716,0.02132
14.75,7.31,7.25335,-5.66522,7.29766,-1.23414,7.16,7.13406,7.1588,-2.59386,-0.12014
15.0,7.33,7.253,-7.69953,7.31494,-1.50649,7.18,7.13632,7.17094,-4.36762,-0.90586
15.25,7.36,7.26009,-9.99073,7.33378,-2.62217,7.19,7.13996,7.18113,-5.00381,-0.88721
15.5,7.38,7.27394,-10.60565,7.35407,-2.59268,7.21,7.14985,7.19467,-6.01504,-1.53323
15.75,7.4,7.29382,-10.61817,7.3757,-2.42954,7.22,7.16026,7.20613,-5.97417,-1.38708
16.0,7.43,7.31898,-11.10219,7.39856,-3.14426,7.23,7.17595,7.22075,-5.40528,-0.92493
16.25,7.45,7.34868,-10.1316,7.42252,-2.74833,7.25,7.19127,7.23317,-5.87287,-1.68252
16.5,7.48,7.3822,-9.78029,7.44747,-3.25326,7.26,7.21094,7.24858,-4.90575,-1.14233
16.75,7.5,7.41878,-8.12216,7.47329,-2.67057,7.28,7.2294,7.26167,-5.06013,-1.83335
17.0,7.53,7.45769,-7.23109,7.49988,-3.01175,7.29,7.25133,7.27756,-3.86733,-1.24362
17.25,7.55,7.49819,-5.18099,7.52711,-2.28884,7.3,7.27125,7.29104,-2.87542,-0.89625
17.5,7.58,7.53954,-4.04574,7.55484,-2.51597,7.32,7.29383,7.30715,-2.61668,-1.28544
17.75,7.6,7.58101,-1.89924,7.58292,-1.70777,7.33,7.31369,7.3207,-1.63127,-0.92986
18.0,7.63,7.62185,-0.81538,7.61121,-1.87891,7.34,7.33548,7.33672,-0.45161,-0.32823
18.25,7.65,7.66132,1.13194,7.63956,-1.04402,7.36,7.3539,7.35006,-0.6103,-0.99391
18.5,7.68,7.69869,1.86885,7.66782,-1.21777,7.37,7.3736,7.36571,0.36033,-0.42944
18.75,7.7,7.73321,3.32143,7.69585,-0.41479,7.38,7.38935,7.37857,0.93473,-0.14325
19.0,7.72,7.76429,4.42891,7.7235,0.35027,7.39,7.40586,7.39359,1.586,0.35864
19.25,7.74,7.79196,5.19566,7.75063,1.06275,7.4,7.41828,7.40572,1.82795,0.57237
19.5,7.77,7.81646,4.6462,7.77708,0.70801,7.42,7.43166,7.41989,1.16648,-0.01127
19.75,7.79,7.83805,4.80508,7.80271,1.2714,7.42,7.44126,7.43108,2.12618,1.10814
20.0,7.81,7.85697,4.69683,7.82738,1.73826,7.44,7.45208,7.44418,1.20802,0.4184
20.25,7.83,7.87346,4.34601,7.85097,2.0966,7.44,7.45939,7.45425,1.93894,1.42501
20.5,7.85,7.88777,3.77714,7.87345,2.34494,7.46,7.46815,7.46618,0.81514,0.61805
20.75,7.86,7.90015,4.01477,7.89484,3.48446,7.46,7.47366,7.47512,1.36617,1.51168
21.0,7.88,7.91083,3.08344,7.91516,3.51632,7.47,7.48084,7.48594,1.08364,1.59367
21.25,7.9,7.92008,2.0077,7.93442,3.44171,7.48,7.485,7.49381,0.49978,1.38129
21.5,7.92,7.92812,0.81208,7.95262,3.26179,7.49,7.49102,7.50359,0.10185,1.35908
21.75,7.93,7.93521,0.52112,7.96978,3.97775,7.5,7.49425,7.51047,-0.57518,1.04731
22.0,7.95,7.94159,-0.84063,7.98591,3.59074,7.5,7.49952,7.51927,-0.04824,1.92742
22.25,7.96,7.94751,-1.24864,8.00102,4.10195,7.51,7.5022,7.52523,-0.77962,1.52254
22.5,7.98,7.95322,-2.67836,8.01513,3.51254,7.52,7.5071,7.53311,-1.29025,1.31113
22.75,7.99,7.95895,-3.10526,8.02824,3.8237,7.52,7.5096,7.53819,-1.03979,1.81908
23.0,8.01,7.96495,-4.50478,8.04037,3.03659,7.53,7.51447,7.54522,-1.55295,1.52195
23.25,8.02,7.97148,-4.8524,8.05152,3.15238,7.54,7.51713,7.54948,-2.28693,0.94833
23.5,8.03,7.97876,-5.12357,8.06172,3.17226,7.54,7.5223,7.55571,-1.77004,1.57098
23.75,8.04,7.98706,-5.29374,8.07097,3.09738,7.55,7.52543,7.55921,-2.45723,0.92108
24.0,8.05,7.99662,-5.33838,8.07929,2.92893,7.55,7.5312,7.56469,-1.88024,1.46868
24.25,8.06,8.00767,-5.23296,8.08669,2.66932,7.56,7.53508,7.56748,-2.49206,0.74785
24.5,8.07,8.02047,-4.95291,8.09326,2.32597,7.56,7.54172,7.57228,-1.82766,1.22795
24.75,8.08,8.03526,-4.47371,8.09908,1.90752,7.57,7.54662,7.57447,-2.33841,0.44729
25.0,8.09,8.05229,-3.77082,8.10423,1.42264,7.57,7.55438,7.57873,-1.56235,0.87289
25.25,8.1,8.0718,-2.81969,8.1088,0.87997,7.57,7.5605,7.58045,-0.94963,1.04527
25.5,8.11,8.09404,-1.59578,8.11288,0.28817,7.58,7.56959,7.58429,-1.04118,0.42886
25.75,8.12,8.11925,-0.07455,8.11656,-0.34409,7.58,7.57714,7.58566,-0.28636,0.56629
26.0,8.12,8.14769,2.76853,8.11992,-0.00818,7.59,7.58771,7.58919,-0.22881,-0.0805
26.25,8.13,8.17851,4.85057,8.12305,-0.69543,7.59,7.59653,7.59033,0.65274,0.03317
26.5,8.14,8.20693,6.69273,8.12603,-1.39718,7.59,7.60678,7.59367,1.67791,0.36686
26.75,8.14,8.22725,8.72502,8.12895,-1.10479,7.59,7.61249,7.59467,2.24934,0.46721
27.0,8.15,8.23503,8.50282,8.1319,-1.8096,7.6,7.6171,7.59791,1.7097,-0.2085
27.25,8.15,8.23145,8.14532,8.13497,-1.50295,7.6,7.61651,7.59888,1.65067,-0.11175
27.5,8.16,8.2193,5.93015,8.13824,-2.17619,7.6,7.61595,7.60213,1.59527,0.21255
27.75,8.16,8.20135,4.13495,8.14179,-1.82066,7.6,7.6117,7.60315,1.16979,0.3147
28.0,8.16,8.18037,2.03736,8.14572,-1.42771,7.61,7.6089,7.60648,-0.11042,-0.35226
28.25,8.17,8.15915,-1.08501,8.15009,-1.99061,7.61,7.6038,7.60763,-0.61995,-0.23687
28.5,8.17,8.14046,-2.9545,8.1549,-1.51029,7.61,7.60152,7.6111,-0.84788,0.1096
28.75,8.18,8.12707,-5.29349,8.1601,-1.98965,7.61,7.59832,7.61238,-1.16835,0.23794
29.0,8.18,8.12173,-5.82669,8.16568,-1.43154,7.62,7.59924,7.61595,-2.07605,-0.4052
29.25,8.19,8.12552,-6.44809,8.17161,-1.83883,7.62,7.60011,7.61733,-1.98876,-0.2674
29.5,8.19,8.13669,-5.33139,8.17786,-1.2144,7.62,7.60486,7.62097,-1.51394,0.09653
29.75,8.2,8.15323,-4.67651,8.18439,-1.56112,7.62,7.6086,7.62241,-1.14018,0.24053
30.0,8.2,8.17317,-2.6834,8.19118,-0.88186,7.63,7.6152,7.62608,-1.47973,-0.39162
30.25,8.21,8.19477,-1.52259,8.19821,-1.17949,7.63,7.61991,7.62756,-1.00939,-0.24449
30.5,8.22,8.21755,-0.24517,8.20543,-1.45687,7.63,7.62695,7.63124,-0.30549,0.12439
30.75,8.22,8.24128,2.12814,8.21283,-0.71689,7.63,7.63191,7.63272,0.19099,0.2718
31.0,8.23,8.26577,3.57661,8.22038,-0.96241,7.64,7.6391,7.63639,-0.08985,-0.361
31.25,8.24,8.2908,5.07953,8.22804,-1.1963,7.64,7.64412,7.63784,0.41236,-0.21594
31.5,8.25,8.31616,6.61617,8.23579,-1.42144,7.64,7.65128,7.64147,1.12757,0.14708
31.75,8.25,8.34166,9.16581,8.24359,-0.64069,7.64,7.65617,7.64287,1.61742,0.28738
32.0,8.26,8.36708,10.70773,8.25143,-0.85693,7.65,7.66312,7.64644,1.31174,-0.35604
