tenor,rate_pct
7 Days,5.13
14 Days,5.12
1 Month,5.09
2 Months,5.21
3 Months,5.28
4 Months,5.39
5 Months,5.50
6 Months,5.61
7 Months,5.61
8 Months,5.62
9 Months,5.62
10 Months,5.68
11 Months,5.74
12 Months,5.79
