tenor,rate_pct
7 Days,5.12
14 Days,5.12
1 Month,5.11
2 Months,5.22
3 Months,5.28
4 Months,5.37
5 Months,5.46
6 Months,5.55
7 Months,5.55
8 Months,5.55
9 Months,5.56
10 Months,5.61
11 Months,5.67
12 Months,5.72
