tenor,rate_pct
7 Days,5.09
14 Days,5.10
1 Month,5.13
2 Months,5.22
3 Months,5.24
4 Months,5.34
5 Months,5.43
6 Months,5.53
7 Months,5.54
8 Months,5.55
9 Months,5.56
10 Months,5.60
11 Months,5.64
12 Months,5.68
