tenor,rate_pct
7 Days,4.72
14 Days,4.76
1 Month,4.85
2 Months,5.00
3 Months,5.18
4 Months,5.32
5 Months,5.45
6 Months,5.59
7 Months,5.61
8 Months,5.63
9 Months,5.66
10 Months,5.73
11 Months,5.81
12 Months,5.89
